producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Arena Gatos Clean Paws Granulado c/ carbon x 5 Kg,Clean Paws,Mascotas,,Unidad,1,15.0,0
Arena Gatos Patas y Colas c/ Carbon x 5 Kg,Genérico,Mascotas,,Unidad,1,15.0,0
Arena Sonqocats Bebe x 5 kg,Sonqocats,Mascotas,,Unidad,1,16.5,0
Arena Sonqocats Carbón Activado x 5 kg,Sonqocats,Mascotas,,Unidad,1,16.5,0
Arena Sonqocats Lavanda x 5 kg,Sonqocats,Mascotas,,Unidad,1,16.5,0
Arena Sonqocats Manzana x 5 Kg,Sonqocats,Mascotas,7750431600036,Unidad,1,16.5,0
Arenero Bandeja,Genérico,Mascotas,,Unidad,1,14.0,3
AREQUIPEÑA CERVEZA LATON X 473,Arequipeña,Licores y Cervezas,7753749002301,Unidad,1,30.0,0
AREQUIPEÑA CERVEZA VIDRIO 620 ML CAJA,Arequipeña,Licores y Cervezas,0077529220,Unidad,1,78.0,0
Aroma jazmin flute 8 und,Genérico,Bazar y Otros,8901751351156,Unidad,1,1.2,0
Arroz a granel campero x kg,Campero,Abarrotes,7751234012965,Unidad,1,5.2,0
Arroz Arroz del sur Super extra 750 g,Arroz del Sur,Abarrotes,7755139001550,Unidad,1,4.8,0
Arroz Campero Embolsado 1 kg,Campero,Abarrotes,7754725001295,Unidad,1,5.5,0
Arroz Chaparri a Granel,Chaparrí,Abarrotes,,Unidad,1,5.2,0
Arroz Chevere a granel,Chévere,Abarrotes,,Unidad,1,5.0,0
ARROZ COSTEÑO EXTRA 750 G,Costeño,Abarrotes,7755139003356,Unidad,1,4.8,0
Arroz Paisana Extra 1 kg,Paisana,Abarrotes,7755139002793,Unidad,1,5.5,0
Arroz Paisana Superior 1 kg,Paisana,Abarrotes,7755139002816,Unidad,1,4.8,0
Arroz Valle norte Gran reserva extra 750 g,Valle Norte,Abarrotes,7754725001219,Unidad,1,4.8,0
Arroz Villa Hermosa a granel x kg,Villa Hermosa,Abarrotes,7751234022186,Unidad,1,4.5,0
Aruba Citrus Punch x 400 ml,Aruba,Bebidas,7751271036573,Unidad,1,1.0,0
Aruba Coco Punch x 400 ml,Aruba,Bebidas,7751271036061,Unidad,1,1.0,0
Aruba Granadilla Punch x 400 ml,Aruba,Bebidas,7751271036580,Unidad,1,1.0,0
